Cell Line HMS LINCS ID,Cell Line Name,Time Point,Time Point Unit,Variable,Average VIP Score
50999,MMAC-SF,10,hr,p-cJun(S63),0.79511
50999,MMAC-SF,10,hr,p-P38(T180/Y182),0.98729
50999,MMAC-SF,10,hr,p-HSP27(S82),0.43475
50999,MMAC-SF,10,hr,p-NFKB(S536),1.33270
50999,MMAC-SF,10,hr,Bim,NaN
50999,MMAC-SF,10,hr,cPARP,NaN
50999,MMAC-SF,10,hr,p-Histone H3(S10),-0.13234
50999,MMAC-SF,10,hr,p27 Kip1,NaN
50999,MMAC-SF,24,hr,p-p90RSK(S380),NaN
50999,MMAC-SF,24,hr,p-p90RSK(T573),NaN
50999,MMAC-SF,24,hr,p-AKT(T308),-0.33286
50999,MMAC-SF,24,hr,p-AKT(S473),-1.09580
50999,MMAC-SF,24,hr,p-mTOR(S2448),NaN
50999,MMAC-SF,24,hr,p-p70S6K(T421/S424),-0.52786
50999,MMAC-SF,24,hr,p-p70S6K(T389),NaN
50999,MMAC-SF,24,hr,p-S6(S235/236),1.59860
50999,MMAC-SF,24,hr,p-AMPK(T172),NaN
50999,MMAC-SF,24,hr,p-JNK(T183/Y185),NaN
50999,MMAC-SF,24,hr,Total c-Jun,NaN
50999,MMAC-SF,24,hr,p-cJun(S63),NaN
50999,MMAC-SF,24,hr,p-P38(T180/Y182),NaN
50999,MMAC-SF,24,hr,p-HSP27(S82),NaN
50999,MMAC-SF,24,hr,p-NFKB(S536),NaN
50999,MMAC-SF,24,hr,Bim,-1.31010
50999,MMAC-SF,24,hr,cPARP,-1.31890
50999,MMAC-SF,24,hr,p-Histone H3(S10),1.65980
50999,MMAC-SF,24,hr,p27 Kip1,-1.85200
50999,MMAC-SF,48,hr,p-p90RSK(S380),NaN
50999,MMAC-SF,48,hr,p-p90RSK(T573),1.09460
50999,MMAC-SF,48,hr,p-AKT(T308),-2.58200
50999,MMAC-SF,48,hr,p-AKT(S473),NaN
50999,MMAC-SF,48,hr,p-mTOR(S2448),NaN
50999,MMAC-SF,48,hr,p-p70S6K(T421/S424),1.28710
50999,MMAC-SF,48,hr,p-p70S6K(T389),NaN
50999,MMAC-SF,48,hr,p-S6(S235/236),1.48220
50999,MMAC-SF,48,hr,p-AMPK(T172),NaN
50999,MMAC-SF,48,hr,p-JNK(T183/Y185),NaN
50999,MMAC-SF,48,hr,Total c-Jun,NaN
50999,MMAC-SF,48,hr,p-cJun(S63),NaN
50999,MMAC-SF,48,hr,p-P38(T180/Y182),NaN
50999,MMAC-SF,48,hr,p-HSP27(S82),0.86518
50999,MMAC-SF,48,hr,p-NFKB(S536),1.68390
