Cell HMS LINCS ID,Cell Name,Small Molecule HMS LINCS ID,Small Molecule Name,Small Mol Concentration,Small Mol Conc Unit,LJP Library Plate,Replicate,Assay Well,Timepoint,Timepoint Unit,Total Cell Count Before Treatment,Total Cell Count After Treatment,Total Control Cell Count,Relative Cell Count,Normalized Growth Rate Inhibition Value
50029-3,MCF7,10016-101-1,HG-5-88-01,0.04,uM,LJP6,2,A24,72,hr,1209,3044,4093,0.7436,0.6899
50029-3,MCF7,10016-101-1,HG-5-88-01,0.04,uM,LJP6,3,A24,72,hr,1209,3271,4121,0.7937,0.7551
50029-3,MCF7,10016-101-1,HG-5-88-01,0.12,uM,LJP6,1,A23,72,hr,1209,2673,3823,0.6992,0.6122
50029-3,MCF7,10016-101-1,HG-5-88-01,0.12,uM,LJP6,2,A23,72,hr,1209,2918,4093,0.7128,0.6498
50029-3,MCF7,10016-101-1,HG-5-88-01,0.12,uM,LJP6,3,A23,72,hr,1209,2883,4121,0.6996,0.6341
50029-3,MCF7,10016-101-1,HG-5-88-01,0.37,uM,LJP6,1,A22,72,hr,1209,2308,3823,0.6037,0.4758
50029-3,MCF7,10016-101-1,HG-5-88-01,0.37,uM,LJP6,2,A22,72,hr,1209,2402,4093,0.5867,0.4770
50029-3,MCF7,10016-101-1,HG-5-88-01,0.37,uM,LJP6,3,A22,72,hr,1209,2614,4121,0.6343,0.5461
50029-3,MCF7,10016-101-1,HG-5-88-01,1.11,uM,LJP6,1,A21,72,hr,1209,2025,3823,0.5297,0.3640
50029-3,MCF7,10016-101-1,HG-5-88-01,1.11,uM,LJP6,2,A21,72,hr,1209,2299,4093,0.5616,0.4407
50029-3,MCF7,10016-101-1,HG-5-88-01,1.11,uM,LJP6,3,A21,72,hr,1209,2321,4121,0.5632,0.4456
50029-3,MCF7,10016-101-1,HG-5-88-01,3.33,uM,LJP6,1,A20,72,hr,1209,1868,3823,0.4886,0.2992
50029-3,MCF7,10016-101-1,HG-5-88-01,3.33,uM,LJP6,2,A20,72,hr,1209,1926,4093,0.4705,0.3027
50029-3,MCF7,10016-101-1,HG-5-88-01,3.33,uM,LJP6,3,A20,72,hr,1209,2153,4121,0.5224,0.3855
50029-3,MCF7,10016-101-1,HG-5-88-01,10,uM,LJP6,1,A19,72,hr,1209,974,3823,0.2548,-0.1223
50029-3,MCF7,10016-101-1,HG-5-88-01,10,uM,LJP6,2,A19,72,hr,1209,989,4093,0.2416,-0.1081
50029-3,MCF7,10016-101-1,HG-5-88-01,10,uM,LJP6,3,A19,72,hr,1209,913,4121,0.2215,-0.1470
50029-3,MCF7,10017-101-1,HG-6-64-01,0.04,uM,LJP6,1,M06,72,hr,1209,4066,3823,1.0636,1.0756
50029-3,MCF7,10017-101-1,HG-6-64-01,0.04,uM,LJP6,2,M06,72,hr,1209,4488,4093,1.0963,1.1073
50029-3,MCF7,10017-101-1,HG-6-64-01,0.04,uM,LJP6,3,M06,72,hr,1209,4406,4121,1.0691,1.0770
