Cell Line HMS LINCS ID,Cell Line Name,Protein HMS LINCS ID,Protein Name,Image,Protein Ligand Concentration,Conc unit,Time,Time unit,Measured Protein,Measured Protein Value
50576-2,184B5,200856,IGF-II,45092,1,ng/ml,90,minute,pAkt,434.349
50576-2,184B5,200856,IGF-II,45324,100,ng/ml,90,minute,pAkt,1166.488
50576-2,184B5,200856,IGF-II,44963,1,ng/ml,10,minute,pErk,1343.349
50576-2,184B5,200856,IGF-II,44688,100,ng/ml,10,minute,pErk,1928.766
50576-2,184B5,200856,IGF-II,44871,1,ng/ml,30,minute,pErk,905.063
50576-2,184B5,200856,IGF-II,44680,100,ng/ml,30,minute,pErk,955.406
50576-2,184B5,200856,IGF-II,44831,1,ng/ml,90,minute,pErk,1102.544
50576-2,184B5,200856,IGF-II,44835,100,ng/ml,90,minute,pErk,1059.121
50576-2,184B5,200856,IGF-II,45864,1,ng/ml,10,minute,pJnk,59.346
50576-2,184B5,200856,IGF-II,45816,100,ng/ml,10,minute,pJnk,59.592
50576-2,184B5,200856,IGF-II,45924,1,ng/ml,30,minute,pJnk,82.960
50576-2,184B5,200856,IGF-II,46107,100,ng/ml,30,minute,pJnk,68.557
50576-2,184B5,200856,IGF-II,45812,1,ng/ml,90,minute,pJnk,68.951
50576-2,184B5,200856,IGF-II,45852,100,ng/ml,90,minute,pJnk,70.967
50576-2,184B5,200856,IGF-II,45715,1,ng/ml,10,minute,pP38,210.469
50576-2,184B5,200856,IGF-II,45499,100,ng/ml,10,minute,pP38,211.932
50576-2,184B5,200856,IGF-II,45711,1,ng/ml,30,minute,pP38,208.954
50576-2,184B5,200856,IGF-II,45731,100,ng/ml,30,minute,pP38,210.979
50576-2,184B5,200856,IGF-II,45643,1,ng/ml,90,minute,pP38,195.222
50576-2,184B5,200856,IGF-II,45655,100,ng/ml,90,minute,pP38,234.262
50576-2,184B5,200854,INS,45020,1,ng/ml,10,minute,pAkt,526.148
50576-2,184B5,200854,INS,45228,100,ng/ml,10,minute,pAkt,673.490
50576-2,184B5,200854,INS,45355,1,ng/ml,30,minute,pAkt,422.013
50576-2,184B5,200854,INS,45052,100,ng/ml,30,minute,pAkt,584.436
50576-2,184B5,200854,INS,45116,1,ng/ml,90,minute,pAkt,466.694
50576-2,184B5,200854,INS,45252,100,ng/ml,90,minute,pAkt,695.589
50576-2,184B5,200854,INS,44955,1,ng/ml,10,minute,pErk,1125.516
50576-2,184B5,200854,INS,44975,100,ng/ml,10,minute,pErk,1339.780
50576-2,184B5,200854,INS,44664,1,ng/ml,30,minute,pErk,908.317
50576-2,184B5,200854,INS,44839,100,ng/ml,30,minute,pErk,1043.805
50576-2,184B5,200854,INS,44704,1,ng/ml,90,minute,pErk,1198.300
50576-2,184B5,200854,INS,44959,100,ng/ml,90,minute,pErk,1098.816
50576-2,184B5,200854,INS,45912,1,ng/ml,10,minute,pJnk,67.360
50576-2,184B5,200854,INS,45804,100,ng/ml,10,minute,pJnk,64.089
50576-2,184B5,200854,INS,45992,1,ng/ml,30,minute,pJnk,99.455
